,date,time,away_team,home_team
0,2023-12-04,Final SO,ottawa,minnesota
1,2023-12-04,Final OT,toronto,boston
2,2023-12-05,Final OT,boston,montreal
3,2023-12-05,Final OT,minnesota,toronto
4,2023-12-05,Final SO,montreal,new_york
5,2023-12-06,Final SO,new_york,ottawa
6,2023-12-07,Final OT,ottawa,boston
7,2023-12-07,Final OT,new_york,toronto
8,2023-12-07,Final,montreal,minnesota
9,2024-01-01,Final,new_york,toronto
10,2024-01-03,Final OT,montreal,ottawa
11,2024-01-04,Final,minnesota,boston
12,2024-01-06,Final,toronto,new_york
13,2024-01-06,Final,montreal,minnesota
14,2024-01-11,Final,montreal,new_york
15,2024-01-11,Final,toronto,minnesota
16,2024-01-13,Final,ottawa,toronto
17,2024-01-13,Final OT,boston,montreal
18,2024-01-14,Final OT,new_york,minnesota
19,2024-01-17,Final,new_york,montreal
20,2024-01-18,Final OT,minnesota,ottawa
21,2024-01-18,Final,boston,toronto
22,2024-01-20,Final,new_york,boston
23,2024-01-21,Final SO,toronto,montreal
24,2024-01-24,Final,toronto,ottawa
25,2024-01-25,Final,boston,ottawa
26,2024-01-25,Final,montreal,minnesota
27,2024-01-27,Final,new_york,toronto
28,2024-01-27,Final OT,ottawa,montreal
29,2024-01-27,Final OT,minnesota,boston
30,2024-01-28,Final OT,minnesota,new_york
31,2024-02-03,Final,minnesota,toronto
32,2024-02-04,Final OT,new_york,ottawa
33,2024-02-04,Final OT,montreal,boston
34,2024-02-15,Final,toronto,boston
35,2024-02-15,Final,ottawa,minnesota
36,2024-02-17,Final OT,new_york,boston
37,2024-02-17,Final,minnesota,ottawa
38,2024-02-17,Final,montreal,toronto
39,2024-02-18,Final,minnesota,montreal
40,2024-02-19,Final,ottawa,boston
41,2024-02-22,Final,ottawa,boston
42,2024-02-22,Final SO,montreal,new_york
43,2024-02-24,Final,ottawa,montreal
44,2024-02-24,Final SO,new_york,toronto
45,2024-02-25,Final,boston,minnesota
46,2024-02-28,Final OT,toronto,minnesota
47,2024-02-29,Final,new_york,ottawa
48,2024-03-02,Final,toronto,ottawa
49,2024-03-02,Final,boston,montreal
50,2024-03-03,Final,minnesota,new_york
51,2024-03-06,Final SO,ottawa,minnesota
52,2024-03-07,Final,montreal,new_york
53,2024-03-07,Final,boston,toronto
54,2024-03-09,Final,montreal,toronto
55,2024-03-10,Final OT,new_york,boston
56,2024-03-10,Final,ottawa,montreal
57,2024-03-14,Final,boston,minnesota
58,2024-03-16,Final,new_york,minnesota
59,2024-03-16,Final SO,ottawa,boston
60,2024-03-17,Final,toronto,montreal
61,2024-03-20,Final,ottawa,new_york
62,2024-03-20,Final,boston,toronto
63,2024-03-23,Final,toronto,ottawa
64,2024-03-24,Final SO,montreal,minnesota
65,2024-03-25,Final,boston,new_york
66,2024-04-18,Final,minnesota,montreal
67,2024-04-18,Final,toronto,boston
68,2024-04-20,Final OT,toronto,montreal
69,2024-04-20,Final,minnesota,ottawa
70,2024-04-20,Final,boston,new_york
71,2024-04-24,Final SO,boston,ottawa
72,2024-04-24,Final,new_york,montreal
73,2024-04-27,Final,montreal,ottawa
74,2024-04-27,Final,boston,minnesota
75,2024-04-28,Final,toronto,new_york
76,2024-04-30,Final,ottawa,new_york
77,2024-05-01,Final,minnesota,toronto
78,2024-05-04,Final,montreal,boston
79,2024-05-04,Final,minnesota,new_york
80,2024-05-05,Final,ottawa,toronto
81,2024-05-08,Final,minnesota,toronto
82,2024-05-09,Final OT,boston,montreal
83,2024-05-10,Final,minnesota,toronto
84,2024-05-11,Final OT3,boston,montreal
85,2024-05-14,Final,toronto,minnesota
86,2024-05-14,Final OT,montreal,boston
87,2024-05-16,Final OT2,toronto,minnesota
88,2024-05-17,Final,minnesota,toronto
89,2024-05-19,Final,minnesota,boston
90,2024-05-21,Final,minnesota,boston
91,2024-05-24,Final,boston,minnesota
92,2024-05-26,Final OT2,boston,minnesota
93,2024-05-29,Final,minnesota,boston
94,2024-11-20,Final,montréal,boston
95,2024-11-20,Final,toronto,minnesota
96,2024-11-21,Final,boston,ottawa
97,2024-11-21,Final OT,minnesota,new_york
98,2024-11-22,Final,ottawa,montréal
99,2024-11-22,Final,new_york,toronto
100,2024-11-30,Final,boston,toronto
101,2024-11-30,Final SO,ottawa,montréal
102,2024-12-01,Final OT,new_york,minnesota
103,2024-12-04,Final,toronto,ottawa
104,2024-12-05,Final,minnesota,boston
105,2024-12-05,Final,new_york,montréal
106,2024-12-07,Final,montréal,ottawa
107,2024-12-07,Final,minnesota,toronto
108,2024-12-08,Final,new_york,boston
109,2024-12-18,Final,ottawa,boston
110,2024-12-19,Final,toronto,new_york
111,2024-12-20,Final,ottawa,minnesota
112,2024-12-21,Final OT,montréal,toronto
113,2024-12-22,Final SO,minnesota,new_york
114,2024-12-28,Final,boston,toronto
115,2024-12-28,Final,montréal,minnesota
116,2024-12-29,Final,ottawa,new_york
117,2024-12-31,Final,boston,montréal
118,2025-01-01,Final,ottawa,toronto
119,2025-01-03,Final OT,boston,minnesota
120,2025-01-04,Final,new_york,minnesota
121,2025-01-05,Final SO,montréal,boston
122,2025-01-08,Final,ottawa,new_york
123,2025-01-09,Final OT,boston,minnesota
124,2025-01-09,Final,montréal,toronto
125,2025-01-11,Final OT,boston,ottawa
126,2025-01-12,Final OT,toronto,new_york
127,2025-01-12,Final,montréal,minnesota
