date,time,away_team,away_score,home_team,home_score,venue,season,type
2024-01-01,Final,New York,4,Toronto,0,Mattamy Athletic Centre,2024,regular
2024-01-02,Final OT,Montreal,3,Ottawa,2,TD Place,2024,regular
2024-01-03,Final,Minnesota,3,Boston,2,Tsongas Center,2024,regular
2024-01-05,Final,Toronto,3,New York,2,Total Mortgage Arena,2024,regular
2024-01-06,Final,Montreal,0,Minnesota,3,Xcel Energy Center,2024,regular
2024-01-10,Final,Montreal,5,New York,2,UBS Arena,2024,regular
2024-01-10,Final,Toronto,1,Minnesota,3,Xcel Energy Center,2024,regular
2024-01-13,Final,Ottawa,5,Toronto,1,Mattamy Athletic Centre,2024,regular
2024-01-13,Final OT,Boston,3,Montreal,2,Verdun Auditorium,2024,regular
2024-01-14,Final OT,New York,3,Minnesota,2,Xcel Energy Center,2024,regular
2024-01-16,Final,New York,2,Montreal,3,Place Bell,2024,regular
2024-01-17,Final,Boston,3,Toronto,2,Mattamy Athletic Centre,2024,regular
2024-01-17,Final OT,Minnesota,3,Ottawa,2,TD Place,2024,regular
2024-01-20,Final,New York,4,Boston,1,Tsongas Center,2024,regular
2024-01-20,Final SO,Toronto,4,Montreal,3,Verdun Auditorium,2024,regular
2024-01-23,Final,Toronto,1,Ottawa,3,TD Place,2024,regular
2024-01-24,Final,Boston,3,Ottawa,2,TD Place,2024,regular
2024-01-24,Final,Montreal,2,Minnesota,1,Xcel Energy Center,2024,regular
2024-01-26,Final,New York,0,Toronto,2,Mattamy Athletic Centre,2024,regular
2024-01-27,Final OT,Ottawa,1,Montreal,2,Place Bell,2024,regular
2024-01-27,Final OT,Minnesota,3,Boston,4,Tsongas Center,2024,regular
2024-01-28,Final OT,Minnesota,2,New York,1,Total Mortgage Arena,2024,regular
2024-02-03,Final,Minnesota,1,Toronto,4,Mattamy Athletic Centre,2024,regular
2024-02-04,Final OT,New York,4,Ottawa,3,TD Place,2024,regular
2024-02-04,Final OT,Montreal,2,Boston,1,Tsongas Center,2024,regular
2024-02-14,Final,Toronto,5,Boston,3,Tsongas Center,2024,regular
2024-02-14,Final,Ottawa,1,Minnesota,2,Xcel Energy Center,2024,regular
2024-02-16,Final,Montreal,0,Toronto,3,Scotiabank Arena,2024,regular
2024-02-17,Final,Minnesota,2,Ottawa,1,TD Place,2024,regular
2024-02-17,Final OT,New York,2,Boston,1,Tsongas Center,2024,regular
2024-02-18,Final,Minnesota,1,Montreal,2,Place Bell,2024,regular
2024-02-19,Final,Ottawa,4,Boston,2,Tsongas Center,2024,regular
2024-02-21,Final,Ottawa,1,Boston,3,Tsongas Center,2024,regular
2024-02-21,Final SO,Montreal,2,New York,3,UBS Arena,2024,regular
2024-02-23,Final SO,New York,1,Toronto,2,Mattamy Athletic Centre,2024,regular
2024-02-24,Final,Ottawa,3,Montreal,6,Verdun Auditorium,2024,regular
2024-02-25,Final,Boston,2,Minnesota,0,Xcel Energy Center,2024,regular
2024-02-27,Final OT,Toronto,4,Minnesota,3,3M Arena at Mariucci,2024,regular
2024-02-28,Final,New York,2,Ottawa,4,TD Place,2024,regular
2024-03-02,Final,Toronto,5,Ottawa,2,TD Place,2024,regular
2024-03-02,Final,Boston,1,Montreal,3,Verdun Auditorium,2024,regular
2024-03-03,Final,Minnesota,2,New York,0,UBS Arena,2024,regular
2024-03-05,Final SO,Ottawa,3,Minnesota,4,Xcel Energy Center,2024,regular
2024-03-06,Final,Montreal,4,New York,3,Total Mortgage Arena,2024,regular
2024-03-06,Final,Boston,1,Toronto,3,Mattamy Athletic Centre,2024,regular
2024-03-08,Final,Montreal,0,Toronto,3,Mattamy Athletic Centre,2024,regular
2024-03-10,Final OT,New York,2,Boston,3,Tsongas Center,2024,regular
2024-03-10,Final,Ottawa,4,Montreal,2,Place Bell,2024,regular
2024-03-13,Final,Boston,0,Minnesota,4,Xcel Energy Center,2024,regular
2024-03-16,Final,New York,1,Minnesota,5,Xcel Energy Center,2024,regular
2024-03-16,Final SO,Ottawa,1,Boston,2,Little Caesars Arena,2024,regular
2024-03-17,Final,Toronto,2,Montreal,1,PPG Paints Arena,2024,regular
2024-03-20,Final,Ottawa,3,New York,0,Total Mortgage Arena,2024,regular
2024-03-20,Final,Boston,1,Toronto,2,Mattamy Athletic Centre,2024,regular
2024-03-23,Final,Toronto,3,Ottawa,5,TD Place,2024,regular
2024-03-24,Final SO,Montreal,2,Minnesota,3,Xcel Energy Center,2024,regular
2024-03-25,Final,Boston,2,New York,3,UBS Arena,2024,regular
2024-04-18,Final,Minnesota,3,Montreal,4,Verdun Auditorium,2024,regular
2024-04-18,Final,Toronto,1,Boston,2,Tsongas Center,2024,regular
2024-04-20,Final OT,Toronto,3,Montreal,2,Bell Centre,2024,regular
2024-04-20,Final,Boston,2,New York,1,Prudential Center,2024,regular
