date,time,away_team,away_score,home_team,home_score,venue,season,type,elo_after_home,elo_after_away,elo_before_home,elo_before_away,expected_win_home,expected_win_away
2023-12-04,Final OT,toronto,5,boston,2,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1295.0,1305.0,1300.0,1300.0,0.5714631174083815,0.4285368825916185
2023-12-04,Final SO,montréal,0,new_york,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1304.0,1296.0,1300.0,1300.0,0.5714631174083815,0.4285368825916185
2023-12-04,Final SO,ottawa,4,minnesota,8,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1304.0,1296.0,1300.0,1300.0,0.5714631174083815,0.4285368825916185
2023-12-05,Final OT,minnesota,5,toronto,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1302.0,1307.0,1305.0,1304.0,0.5728722513945046,0.4271277486054954
2023-12-05,Final OT,boston,1,montréal,3,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1299.0,1292.0,1296.0,1295.0,0.5728722513945046,0.4271277486054954
2023-12-05,Final SO,new_york,2,ottawa,1,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1293.0,1307.0,1296.0,1304.0,0.5601501452319031,0.4398498547680969
2023-12-07,Final,montréal,3,minnesota,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1309.0,1297.0,1307.0,1299.0,0.58270188496423,0.41729811503576997
2023-12-07,Final OT,ottawa,1,boston,3,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1295.0,1290.0,1292.0,1293.0,0.5700528235839882,0.42994717641601177
2023-12-07,Final OT,new_york,6,toronto,4,Utica University Nexus Center - Mastrovito Hyundai,2024,pre,1298.0,1311.0,1302.0,1307.0,0.5644004902404212,0.43559950975957884
2024-01-01,Final,new_york,4,toronto,0,Mattamy Athletic Centre,2024,regular,1292.0,1317.0,1298.0,1311.0,0.5530468951694627,0.4469531048305373
2024-01-02,Final OT,montréal,3,ottawa,2,TD Place,2024,regular,1287.0,1300.0,1290.0,1297.0,0.561567938973646,0.438432061026354
2024-01-03,Final,minnesota,3,boston,2,Tsongas Center,2024,regular,1292.0,1312.0,1295.0,1309.0,0.5516235473109605,0.4483764526890395
2024-01-05,Final,toronto,3,new_york,2,Total Mortgage Arena,2024,regular,1314.0,1295.0,1317.0,1292.0,0.6062878237854282,0.3937121762145718
2024-01-06,Final,montréal,0,minnesota,3,Xcel Energy Center,2024,regular,1316.0,1296.0,1312.0,1300.0,0.5882899718631627,0.4117100281368373
2024-01-10,Final,montréal,5,new_york,2,UBS Arena,2024,regular,1308.0,1302.0,1314.0,1296.0,0.596629173305774,0.40337082669422597
2024-01-10,Final,toronto,1,minnesota,3,Xcel Energy Center,2024,regular,1319.0,1292.0,1316.0,1295.0,0.6007782458900112,0.39922175410998884
2024-01-13,Final,ottawa,5,toronto,1,Mattamy Athletic Centre,2024,regular,1286.0,1293.0,1292.0,1287.0,0.5784967523447428,0.42150324765525715
2024-01-13,Final OT,boston,3,montréal,2,Verdun Auditorium,2024,regular,1299.0,1295.0,1302.0,1292.0,0.5854986786718095,0.4145013213281905
2024-01-14,Final OT,new_york,3,minnesota,2,Xcel Energy Center,2024,regular,1316.0,1311.0,1319.0,1308.0,0.5868950233791,0.41310497662089996
2024-01-16,Final,new_york,2,montréal,3,Place Bell,2024,regular,1301.0,1309.0,1299.0,1311.0,0.5544693740216761,0.44553062597832394
2024-01-17,Final OT,minnesota,3,ottawa,2,TD Place,2024,regular,1290.0,1319.0,1293.0,1316.0,0.5387780920571715,0.46122190794282847
